model,layer,relative_depth,overall,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,sanctity,degradation
Guard-Gen-8B,28,0.8,-0.8631375635513472,-0.1925601498583165,-0.21156945540273053,-1.0091548812798763,-0.7034295221791698,-0.5185127883118701,-0.38486959989866354,-1.4741840744548544,-2.2711581297053334,-0.9964909262113741,-0.8694461082109972
Guard-Gen-8B,29,0.8285714285714286,-0.9685562344425422,-0.33961812652314904,-0.5048952204043533,-0.9388409839972593,-1.246557576069264,-0.7275273513421312,-0.6027098463468636,-2.302771436467524,-1.317772842910761,-1.094583900556514,-0.6102850598073122
Guard-Gen-8B,30,0.8571428571428571,-1.5334486945111787,-0.7963797163082296,-1.1954416164469381,-1.0338998330805476,-1.5665758119639634,-1.7562072403740636,-1.2770014474672045,-1.1051808535636174,-2.450517554046927,-1.9619813647617859,-2.1913015070981525
Guard-Gen-8B,31,0.8857142857142857,-1.2395772476332967,-0.4618760552782819,-1.0667930127811642,-1.0855054607866879,-1.1356971394297886,-1.488219343201144,-1.6757140634289556,-1.7044347990865014,-1.4494029298443962,-1.3694655607278157,-0.9586641117679138
Guard-Gen-8B,32,0.9142857142857143,-1.9906496971506766,-0.5512375623327721,-0.8581364387322772,-1.9687220567982124,-1.813878720017259,-1.3619815331286942,-2.7188090462504557,-3.197325040649786,-2.437999751965245,-2.2265242130408147,-2.77188260859054
Guard-Gen-8B,33,0.9428571428571428,-2.7374582747971945,-2.0712109833279007,-1.414668991859236,-3.3932020087162895,-2.5841885115129357,-2.1986413570858363,-2.5158946238890914,-3.00811583333666,-3.3033510899225433,-4.809688069251748,-2.075621279068994
Guard-Gen-8B,34,0.9714285714285714,-3.6590267548559097,-3.3698153362321523,-2.66516641782756,-4.650952110812204,-2.654305918180533,-3.4385337946542327,-2.590015279264381,-5.581725208979732,-3.2673873581497404,-5.638099838497266,-2.734266285960662
Guard-Gen-8B,35,1.0,-9.560777802530811,-5.72105219932833,-4.340546642247805,-12.077744472299345,-10.801458754344301,-9.1774468031188,-8.10467330816913,-11.34295363009942,-9.454446622099425,-15.78818301658201,-8.799272577017861
Llama-3.1-8B,0,0.0,0.18630938274511302,0.222476308258169,0.2215887097716519,0.13601658042829268,0.23937885697511097,0.1901345154025318,0.24588540728391817,0.13444077092581408,0.1766063791302862,0.11633958367806208,0.18022671559746395
Llama-3.1-8B,1,0.03225806451612903,0.19021459698170312,0.2351836166333059,0.22513995167171486,0.13251210607997055,0.24634562618260947,0.20587658347256332,0.2510457563015077,0.1322776108112469,0.16749738295172312,0.12074227285515071,0.18552506285740233
Llama-3.1-8B,2,0.06451612903225806,0.20857955588015864,0.261327493667601,0.2510600274251048,0.15252393851015122,0.2594533936300829,0.23597169769351867,0.2622989098123193,0.13566572984953174,0.19005377272948043,0.13115934286388398,0.20628125262007557
Llama-3.1-8B,3,0.0967741935483871,0.21848536175388727,0.27222156672016706,0.26382666683638867,0.16889275853295593,0.2550364551007618,0.2523342869290299,0.2755061355753794,0.1455253142024543,0.20256011213917824,0.13089163280046345,0.2180586887022642
Llama-3.1-8B,4,0.12903225806451613,0.22688827260428307,0.2816088292875849,0.27519608997875855,0.18008140717522103,0.25097120774999404,0.2621858381780785,0.28404582750214,0.1539401019057396,0.20384259207092936,0.1453516438004696,0.2316591883940775
Llama-3.1-8B,5,0.16129032258064516,0.23794441454641083,0.2954544306997875,0.29251766680114455,0.19277417608772796,0.2676313185015936,0.2690421744213386,0.2934996948429621,0.16965538541994252,0.20547971172282053,0.153577615709809,0.23981197125714493
Llama-3.1-8B,6,0.1935483870967742,0.24083297133844156,0.29202635775104535,0.290368965502792,0.1919821710227525,0.26943738246651117,0.26777797729943575,0.29336402764528013,0.17332354808033523,0.21719253421654716,0.1546790439653447,0.2581777054345241
